date,users,year,month,day
2018-12-20,482,2018,12,20
2018-12-21,406,2018,12,21
2018-12-22,354,2018,12,22
2018-12-23,438,2018,12,23
2018-12-24,596,2018,12,24
2018-12-25,1075,2018,12,25
2018-12-26,1525,2018,12,26
2018-12-27,975,2018,12,27
2018-12-28,899,2018,12,28
2018-12-29,557,2018,12,29
2018-12-30,520,2018,12,30
2018-12-31,414,2018,12,31
2019-01-01,452,2019,1,1
2019-01-02,509,2019,1,2
2019-01-03,468,2019,1,3
2019-01-04,468,2019,1,4
2019-01-05,520,2019,1,5
2019-01-06,572,2019,1,6
2019-01-07,475,2019,1,7
2019-01-08,525,2019,1,8
2019-01-09,376,2019,1,9
2019-01-10,396,2019,1,10
2019-01-11,355,2019,1,11
2019-01-12,391,2019,1,12
2019-01-13,475,2019,1,13
2019-01-14,352,2019,1,14
2019-01-15,316,2019,1,15
2019-01-16,339,2019,1,16
2019-01-17,273,2019,1,17
2019-01-18,272,2019,1,18
2019-01-19,343,2019,1,19
2019-01-20,569,2019,1,20
2019-01-21,317,2019,1,21
2019-01-22,276,2019,1,22
2019-01-23,298,2019,1,23
2019-01-24,294,2019,1,24
2019-01-25,245,2019,1,25
2019-01-26,270,2019,1,26
2019-01-27,368,2019,1,27
2019-01-28,303,2019,1,28
2019-01-29,259,2019,1,29
2019-01-30,341,2019,1,30
2019-01-31,468,2019,1,31
2019-02-01,348,2019,2,1
2019-02-02,375,2019,2,2
2019-02-03,508,2019,2,3
2019-02-04,414,2019,2,4
2019-02-05,394,2019,2,5
2019-02-06,319,2019,2,6
2019-02-07,307,2019,2,7
2019-02-08,265,2019,2,8
2019-02-09,298,2019,2,9
2019-02-10,365,2019,2,10
2019-02-11,319,2019,2,11
2019-02-12,279,2019,2,12
2019-02-13,273,2019,2,13
2019-02-14,256,2019,2,14
2019-02-15,233,2019,2,15
2019-02-16,270,2019,2,16
2019-02-17,267,2019,2,17
2019-02-18,170,2019,2,18
2019-02-19,284,2019,2,19
2019-02-20,265,2019,2,20
2019-02-21,239,2019,2,21
2019-02-22,206,2019,2,22
2019-02-23,201,2019,2,23
2019-02-24,234,2019,2,24
2019-02-25,232,2019,2,25
2019-02-26,215,2019,2,26
2019-02-27,308,2019,2,27
2019-02-28,677,2019,2,28
2019-03-01,240,2019,3,1
2019-03-02,304,2019,3,2
2019-03-03,312,2019,3,3
2019-03-04,252,2019,3,4
2019-03-05,336,2019,3,5
2019-03-06,302,2019,3,6
2019-03-07,246,2019,3,7
2019-03-08,199,2019,3,8
2019-03-09,231,2019,3,9
2019-03-10,284,2019,3,10
2019-03-11,266,2019,3,11
2019-03-12,316,2019,3,12
2019-03-13,299,2019,3,13
2019-03-14,226,2019,3,14
2019-03-15,226,2019,3,15
2019-03-16,238,2019,3,16
2019-03-17,259,2019,3,17
2019-03-18,190,2019,3,18
2019-03-19,220,2019,3,19
2019-03-20,193,2019,3,20
2019-03-21,198,2019,3,21
2019-03-22,176,2019,3,22
2019-03-23,197,2019,3,23
2019-03-24,245,2019,3,24
2019-03-25,191,2019,3,25
2019-03-26,217,2019,3,26
2019-03-27,171,2019,3,27
2019-03-28,198,2019,3,28
2019-03-29,150,2019,3,29
2019-03-30,175,2019,3,30
2019-03-31,173,2019,3,31
2019-04-01,211,2019,4,1
2019-04-02,209,2019,4,2
2019-04-03,219,2019,4,3
2019-04-04,369,2019,4,4
2019-04-05,174,2019,4,5
2019-04-06,196,2019,4,6
2019-04-07,242,2019,4,7
2019-04-08,186,2019,4,8
2019-04-09,193,2019,4,9
2019-04-10,155,2019,4,10
2019-04-11,166,2019,4,11
2019-04-12,146,2019,4,12
2019-04-13,169,2019,4,13
2019-04-14,186,2019,4,14
2019-04-15,198,2019,4,15
2019-04-16,243,2019,4,16
2019-04-17,277,2019,4,17
2019-04-18,278,2019,4,18
2019-04-19,366,2019,4,19
2019-04-20,271,2019,4,20
2019-04-21,235,2019,4,21
2019-04-22,212,2019,4,22
2019-04-23,178,2019,4,23
2019-04-24,229,2019,4,24
2019-04-25,185,2019,4,25
2019-04-26,142,2019,4,26
2019-04-27,213,2019,4,27
2019-04-28,208,2019,4,28
2019-04-29,146,2019,4,29
2019-04-30,173,2019,4,30
2019-05-01,150,2019,5,1
2019-05-02,153,2019,5,2
2019-05-03,160,2019,5,3
2019-05-04,201,2019,5,4
2019-05-05,176,2019,5,5
2019-05-06,181,2019,5,6
2019-05-07,140,2019,5,7
2019-05-08,171,2019,5,8
2019-05-09,148,2019,5,9
2019-05-10,160,2019,5,10
2019-05-11,150,2019,5,11
2019-05-12,184,2019,5,12
2019-05-13,176,2019,5,13
2019-05-14,129,2019,5,14
2019-05-15,152,2019,5,15
2019-05-16,190,2019,5,16
2019-05-17,127,2019,5,17
2019-05-18,187,2019,5,18
2019-05-19,205,2019,5,19
2019-05-20,216,2019,5,20
2019-05-21,199,2019,5,21
2019-05-22,223,2019,5,22
2019-05-23,256,2019,5,23
2019-05-24,232,2019,5,24
2019-05-25,191,2019,5,25
2019-05-26,229,2019,5,26
2019-05-27,234,2019,5,27
2019-05-28,242,2019,5,28
2019-05-29,253,2019,5,29
2019-05-30,238,2019,5,30
2019-05-31,234,2019,5,31
2019-06-01,158,2019,6,1
2019-06-02,171,2019,6,2
2019-06-03,157,2019,6,3
2019-06-04,197,2019,6,4
2019-06-05,163,2019,6,5
2019-06-06,166,2019,6,6
2019-06-07,152,2019,6,7
2019-06-08,157,2019,6,8
2019-06-09,212,2019,6,9
2019-06-10,183,2019,6,10
2019-06-11,173,2019,6,11
2019-06-12,192,2019,6,12
2019-06-13,177,2019,6,13
2019-06-14,358,2019,6,14
2019-06-15,216,2019,6,15
2019-06-16,198,2019,6,16
2019-06-17,181,2019,6,17
2019-06-18,180,2019,6,18
2019-06-19,178,2019,6,19
2019-06-20,184,2019,6,20
2019-06-21,199,2019,6,21
2019-06-22,141,2019,6,22
2019-06-23,186,2019,6,23
2019-06-24,164,2019,6,24
2019-06-25,161,2019,6,25
2019-06-26,138,2019,6,26
2019-06-27,161,2019,6,27
2019-06-28,137,2019,6,28
2019-06-29,170,2019,6,29
2019-06-30,163,2019,6,30
2019-07-01,215,2019,7,1
2019-07-02,176,2019,7,2
2019-07-03,202,2019,7,3
2019-07-04,269,2019,7,4
2019-07-05,153,2019,7,5
2019-07-06,126,2019,7,6
2019-07-07,176,2019,7,7
2019-07-08,202,2019,7,8
2019-07-09,224,2019,7,9
2019-07-10,189,2019,7,10
2019-07-11,159,2019,7,11
2019-07-12,123,2019,7,12
2019-07-13,141,2019,7,13
2019-07-14,131,2019,7,14
2019-07-15,170,2019,7,15
2019-07-16,145,2019,7,16
2019-07-17,149,2019,7,17
2019-07-18,130,2019,7,18
2019-07-19,137,2019,7,19
2019-07-20,145,2019,7,20
2019-07-21,131,2019,7,21
2019-07-22,144,2019,7,22
2019-07-23,94,2019,7,23
2019-07-24,163,2019,7,24
2019-07-25,200,2019,7,25
2019-07-26,130,2019,7,26
2019-07-27,174,2019,7,27
2019-07-28,187,2019,7,28
2019-07-29,186,2019,7,29
2019-07-30,192,2019,7,30
2019-07-31,204,2019,7,31
2019-08-01,142,2019,8,1
2019-08-02,113,2019,8,2
2019-08-03,131,2019,8,3
2019-08-04,310,2019,8,4
2019-08-05,223,2019,8,5
2019-08-06,197,2019,8,6
2019-08-07,172,2019,8,7
2019-08-08,146,2019,8,8
2019-08-09,158,2019,8,9
2019-08-10,140,2019,8,10
2019-08-11,161,2019,8,11
2019-08-12,175,2019,8,12
2019-08-13,151,2019,8,13
2019-08-14,167,2019,8,14
2019-08-15,149,2019,8,15
2019-08-16,151,2019,8,16
2019-08-17,130,2019,8,17
2019-08-18,163,2019,8,18
2019-08-19,162,2019,8,19
2019-08-20,158,2019,8,20
2019-08-21,154,2019,8,21
2019-08-22,281,2019,8,22
2019-08-23,175,2019,8,23
2019-08-24,135,2019,8,24
2019-08-25,142,2019,8,25
2019-08-26,128,2019,8,26
2019-08-27,157,2019,8,27
2019-08-28,204,2019,8,28
2019-08-29,178,2019,8,29
2019-08-30,156,2019,8,30
2019-08-31,163,2019,8,31
2019-09-01,187,2019,9,1
2019-09-02,197,2019,9,2
2019-09-03,162,2019,9,3
2019-09-04,212,2019,9,4
2019-09-05,310,2019,9,5
2019-09-06,254,2019,9,6
2019-09-07,199,2019,9,7
2019-09-08,168,2019,9,8
2019-09-09,205,2019,9,9
2019-09-10,201,2019,9,10
2019-09-11,180,2019,9,11
2019-09-12,196,2019,9,12
2019-09-13,184,2019,9,13
2019-09-14,429,2019,9,14
2019-09-15,255,2019,9,15
2019-09-16,174,2019,9,16
2019-09-17,178,2019,9,17
2019-09-18,197,2019,9,18
2019-09-19,190,2019,9,19
2019-09-20,131,2019,9,20
2019-09-21,183,2019,9,21
2019-09-22,255,2019,9,22
2019-09-23,234,2019,9,23
2019-09-24,239,2019,9,24
2019-09-25,236,2019,9,25
2019-09-26,250,2019,9,26
2019-09-27,216,2019,9,27
2019-09-28,231,2019,9,28
2019-09-29,256,2019,9,29
2019-09-30,270,2019,9,30
2019-10-01,219,2019,10,1
2019-10-02,248,2019,10,2
2019-10-03,357,2019,10,3
2019-10-04,407,2019,10,4
2019-10-05,302,2019,10,5
2019-10-06,329,2019,10,6
2019-10-07,383,2019,10,7
2019-10-08,358,2019,10,8
2019-10-09,276,2019,10,9
2019-10-10,302,2019,10,10
2019-10-11,251,2019,10,11
2019-10-12,251,2019,10,12
2019-10-13,293,2019,10,13
2019-10-14,261,2019,10,14
2019-10-15,276,2019,10,15
2019-10-16,291,2019,10,16
2019-10-17,277,2019,10,17
2019-10-18,259,2019,10,18
2019-10-19,247,2019,10,19
2019-10-20,316,2019,10,20
2019-10-21,287,2019,10,21
2019-10-22,276,2019,10,22
2019-10-23,261,2019,10,23
2019-10-24,276,2019,10,24
2019-10-25,256,2019,10,25
2019-10-26,310,2019,10,26
2019-10-27,288,2019,10,27
2019-10-28,308,2019,10,28
2019-10-29,267,2019,10,29
2019-10-30,269,2019,10,30
2019-10-31,313,2019,10,31
2019-11-01,404,2019,11,1
2019-11-02,339,2019,11,2
2019-11-03,473,2019,11,3
2019-11-04,390,2019,11,4
2019-11-05,310,2019,11,5
2019-11-06,312,2019,11,6
2019-11-07,311,2019,11,7
2019-11-08,250,2019,11,8
2019-11-09,263,2019,11,9
2019-11-10,303,2019,11,10
2019-11-11,241,2019,11,11
2019-11-12,406,2019,11,12
2019-11-13,332,2019,11,13
2019-11-14,862,2019,11,14
2019-11-15,1142,2019,11,15
2019-11-16,912,2019,11,16
2019-11-17,1149,2019,11,17
2019-11-18,837,2019,11,18
2019-11-19,696,2019,11,19
2019-11-20,565,2019,11,20
2019-11-21,563,2019,11,21
2019-11-22,536,2019,11,22
2019-11-23,586,2019,11,23
2019-11-24,594,2019,11,24
2019-11-25,507,2019,11,25
2019-11-26,463,2019,11,26
2019-11-27,851,2019,11,27
2019-11-28,1291,2019,11,28
2019-11-29,963,2019,11,29
2019-11-30,573,2019,11,30
2019-12-01,599,2019,12,1
2019-12-02,553,2019,12,2
2019-12-03,408,2019,12,3
2019-12-04,360,2019,12,4
2019-12-05,356,2019,12,5
2019-12-06,362,2019,12,6
2019-12-07,292,2019,12,7
2019-12-08,363,2019,12,8
2019-12-09,370,2019,12,9
2019-12-10,367,2019,12,10
2019-12-11,583,2019,12,11
2019-12-12,563,2019,12,12
2019-12-13,277,2019,12,13
2019-12-14,265,2019,12,14
2019-12-15,519,2019,12,15
2019-12-16,344,2019,12,16
2019-12-17,330,2019,12,17
2019-12-18,302,2019,12,18
2019-12-19,277,2019,12,19
2019-12-20,311,2019,12,20
2019-12-21,258,2019,12,21
2019-12-22,337,2019,12,22
2019-12-23,331,2019,12,23
2019-12-24,340,2019,12,24
2019-12-25,472,2019,12,25
2019-12-26,644,2019,12,26
2019-12-27,466,2019,12,27
2019-12-28,398,2019,12,28
2019-12-29,402,2019,12,29
2019-12-30,411,2019,12,30
2019-12-31,318,2019,12,31
2020-01-01,326,2020,1,1
2020-01-02,365,2020,1,2
2020-01-03,362,2020,1,3
2020-01-04,324,2020,1,4
2020-01-05,382,2020,1,5
2020-01-06,327,2020,1,6
2020-01-07,322,2020,1,7
2020-01-08,330,2020,1,8
2020-01-09,304,2020,1,9
2020-01-10,255,2020,1,10
2020-01-11,414,2020,1,11
2020-01-12,595,2020,1,12
2020-01-13,591,2020,1,13
2020-01-14,388,2020,1,14
2020-01-15,256,2020,1,15
2020-01-16,261,2020,1,16
2020-01-17,240,2020,1,17
2020-01-18,235,2020,1,18
2020-01-19,395,2020,1,19
2020-01-20,309,2020,1,20
2020-01-21,252,2020,1,21
2020-01-22,237,2020,1,22
2020-01-23,251,2020,1,23
2020-01-24,202,2020,1,24
2020-01-25,209,2020,1,25
2020-01-26,278,2020,1,26
2020-01-27,220,2020,1,27
2020-01-28,242,2020,1,28
2020-01-29,218,2020,1,29
2020-01-30,196,2020,1,30
2020-01-31,185,2020,1,31
2020-02-01,209,2020,2,1
2020-02-02,245,2020,2,2
2020-02-03,234,2020,2,3
2020-02-04,217,2020,2,4
2020-02-05,201,2020,2,5
2020-02-06,231,2020,2,6
2020-02-07,184,2020,2,7
2020-02-08,209,2020,2,8
2020-02-09,265,2020,2,9
2020-02-10,269,2020,2,10
2020-02-11,239,2020,2,11
2020-02-12,178,2020,2,12
2020-02-13,173,2020,2,13
2020-02-14,162,2020,2,14
2020-02-15,170,2020,2,15
2020-02-16,228,2020,2,16
2020-02-17,180,2020,2,17
2020-02-18,147,2020,2,18
